run_id,arch,recipe_actual,variant,stage,transform,descriptor,n_images_paired,acc_native,acc_term_1.00,delta,ci_lo,ci_hi,max_abs_s11_diff_vs_native,chance_exact,endpoint_class
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,s12_post_norm,T3,centred_l2,2000,0.8955059524,0.8927857143,-0.002720238095,-0.002970238095,-0.002473214286,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,s12_post_norm,T3,l2,2000,0.8967767857,0.8939494048,-0.002827380952,-0.003095238095,-0.0025625,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,hist,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,hist,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,hist,T1,centred_l2,2000,0.8832397959,0.8809132653,-0.002326530612,-0.002558673469,-0.002091836735,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,hist,T1,l2,2000,0.8831785714,0.8806352041,-0.002543367347,-0.002806122449,-0.002278061224,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,hist,T2,centred_l2,2000,0.9097115385,0.908228022,-0.001483516484,-0.001664835165,-0.001307692308,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,hist,T2,l2,2000,0.9095576923,0.9080412088,-0.001516483516,-0.001700549451,-0.001326923077,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,hist,T3,centred_l2,2000,0.8962529762,0.894547619,-0.001705357143,-0.001919642857,-0.00149702381,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,hist,T3,l2,2000,0.8958988095,0.8941309524,-0.001767857143,-0.00199702381,-0.001532738095,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s11_out,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s11_out,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s11_out,T1,centred_l2,2000,0.8842193878,0.8842193878,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s11_out,T1,l2,2000,0.8837193878,0.8837193878,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s11_out,T2,centred_l2,2000,0.9101620879,0.9101620879,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s11_out,T2,l2,2000,0.9096346154,0.9096346154,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s11_out,T3,centred_l2,2000,0.8967886905,0.8967886905,0,0,0,0,0.005102040816,secondary
