arch,recipe,variant,block,cls_norm_ratio,cls_attn_share,ckpt_sha256
vit_small,nomix,registers,10,0.6967455533981324,0.020618536388874054,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536
vit_small,nomix,registers,11,0.6666198633193969,0.10925861504077912,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536
vit_small,nomix,saga,0,1.0180935459136964,0.29057768058776856,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee
vit_small,nomix,saga,1,1.3136781133651734,0.12384296643733979,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee
vit_small,nomix,saga,2,1.4973640159606934,0.11222464660406113,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee
vit_small,nomix,saga,3,1.4913100025177002,0.010408251902461052,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee
vit_small,nomix,saga,4,1.4888692966461181,0.10633578552007675,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee
vit_small,nomix,saga,5,1.25684917678833,0.114652370262146,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee
vit_small,nomix,saga,6,1.0309226596832275,0.17296657030582427,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee
vit_small,nomix,saga,7,0.8064864694595337,0.06834593795537948,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee
vit_small,nomix,saga,8,0.6654989412307739,0.030874433594942092,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee
vit_small,nomix,saga,9,0.5783671242713928,0.04047477674484253,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee
vit_small,nomix,saga,10,0.7959551908493042,0.03386651458740234,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee
vit_small,nomix,saga,11,0.7979290561676026,0.14424805943965913,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee
